Time,Trace_1
0.08020000000000001,-71.23020067363822
0.08030000000000001,-71.23024030492631
0.0804,-71.23027988323335
0.0805,-71.23031938395327
0.0806,-71.23035878301337
0.08070000000000001,-71.23039805687961
0.08080000000000001,-71.23043718256115
0.0809,-71.23047613761466
0.081,-71.2305149001482
0.0811,-71.23055344882448
0.08120000000000001,-71.23059176286364
0.0813,-71.23062982204605
0.0814,-71.23066760671435
0.0815,-71.23070509777496
0.0816,-71.23074227669957
0.08170000000000001,-71.23077912552597
0.0818,-71.23081562685849
0.0819,-71.23085176386826
0.082,-71.23088752029297
0.0821,-71.23092288043614
0.08220000000000001,-71.23095782916633
0.0823,-71.23099235191577
0.0824,-71.23102643467865
0.0825,-71.23106006400934
0.0826,-71.23109322701987
0.08270000000000001,-71.23112591137739
0.0828,-71.23115810530132
0.0829,-71.23118979755999
0.083,-71.23122097746734
0.08310000000000001,-71.2312516348789
0.08320000000000001,-71.2312817601877
0.0833,-71.23131134432015
0.0834,-71.23134037873113
0.0835,-71.23136885539944
0.08360000000000001,-71.23139676682236
0.08370000000000001,-71.23142410601066
0.0838,-71.23145086648277
0.0839,-71.23147704225907
0.084,-71.2315026278559
0.08410000000000001,-71.2315276182793
0.08420000000000001,-71.23155200901878
0.0843,-71.23157579604047
0.0844,-71.23159897578066
0.0845,-71.23162154513851
0.08460000000000001,-71.23164350146921
0.0847,-71.23166484257668
0.0848,-71.23168556670606
0.0849,-71.23170567253636
0.085,-71.2317251591725
0.08510000000000001,-71.23174402613783
0.0852,-71.23176227336586
0.0853,-71.23177990119254
0.0854,-71.23179691034804
0.0855,-71.23181330194834
0.08560000000000001,-71.2318290774872
0.0857,-71.23184423882756
0.0858,-71.23185878819314
0.0859,-71.2318727281599
0.08600000000000001,-71.23188606164751
0.08610000000000001,-71.23189879191058
0.0862,-71.23191092253003
0.0863,-71.23192245740434
0.0864,-71.23193340074089
0.08650000000000001,-71.23194375704686
0.08660000000000001,-71.2319535311208
0.0867,-71.23196272804364
0.0868,-71.23197135316967
0.0869,-71.23197941211801
0.08700000000000001,-71.23198691076352
0.08710000000000001,-71.2319938552281
0.0872,-71.2320002518719
0.0873,-71.23200610728445
0.0874,-71.23201142827584
0.08750000000000001,-71.2320162218681
0.0876,-71.23202049528649
0.0877,-71.23202425595068
0.0878,-71.23202751146631
0.0879,-71.23203026961633
0.08800000000000001,-71.23203253835244
0.0881,-71.23203432578678
0.0882,-71.23203564018351
0.0883,-71.23203648995022
0.0884,-71.23203688362997
0.08850000000000001,-71.23203682989299
0.0886,-71.23203633752864
0.0887,-71.23203541543741
0.0888,-71.23203407262274
0.0889,-71.23203231818351
0.08900000000000001,-71.23203016130606
0.0891,-71.23202761125663
0.0892,-71.2320246773738
0.0893,-71.23202136906104
0.08940000000000001,-71.23201769577936
0.08950000000000001,-71.23201366703996
0.0896,-71.23200929239728
0.0897,-71.23200458144188
0.0898,-71.23199954379348
0.08990000000000001,-71.23199418909432
0.09000000000000001,-71.23198852700233
0.0901,-71.23198256718474
0.0902,-71.23197631931153
0.0903,-71.23196979304919
0.09040000000000001,-71.23196299805454
0.09050000000000001,-71.23195594396864
0.0906,-71.23194864041099
0.0907,-71.23194109697356
0.0908,-71.23193332321537
0.09090000000000001,-71.23192532865669
0.091,-71.23191712277382
0.0911,-71.23190871499396
0.0912,-71.2319001146897
0.0913,-71.23189133117447
0.09140000000000001,-71.2318823736974
0.0915,-71.23187325143873
0.0916,-71.23186397350517
0.0917,-71.23185454892558
0.0918,-71.23184498664648
0.09190000000000001,-71.23183529552813
0.092,-71.23182548434018
0.0921,-71.2318155617582
0.0922,-71.23180553635957
0.09230000000000001,-71.23179541662003
0.09240000000000001,-71.23178521091015
0.0925,-71.23177492749208
0.0926,-71.23176457451619
0.0927,-71.23175416001811
0.09280000000000001,-71.23174369191584
0.09290000000000001,-71.23173317800676
0.093,-71.23172262596516
0.0931,-71.23171204333956
0.0932,-71.23170143755043
0.09330000000000001,-71.23169081588782
0.09340000000000001,-71.23168018550913
0.0935,-71.2316695534374
0.0936,-71.23165892655895
0.0937,-71.23164831162204
0.09380000000000001,-71.23163771523505
0.09390000000000001,-71.23162714386491
0.094,-71.23161660383573
0.0941,-71.23160610132753
0.0942,-71.23159564237517
0.09430000000000001,-71.2315852328671
0.0944,-71.23157487854459
0.0945,-71.23156458500083
0.0946,-71.23155435768031
0.0947,-71.231544201878
0.09480000000000001,-71.23153412273922
0.0949,-71.23152412525899
0.095,-71.23151421428173
0.0951,-71.23150439450119
0.0952,-71.23149467046039
0.09530000000000001,-71.23148504655164
0.0954,-71.23147552701656
0.0955,-71.23146611594636
0.0956,-71.23145681728212
0.09570000000000001,-71.23144763481528
0.09580000000000001,-71.23143857218797
0.0959,-71.2314296328937
0.096,-71.23142082027803
0.0961,-71.2314121375392
0.09620000000000001,-71.231403587729
0.09630000000000001,-71.23139517375371
0.0964,-71.23138689837505
0.0965,-71.23137876421126
0.0966,-71.23137077373815
0.09670000000000001,-71.23136292929033
0.09680000000000001,-71.23135523306246
0.0969,-71.23134768711058
0.097,-71.23134029335357
0.0971,-71.2313330535744
0.09720000000000001,-71.23132596942192
0.09730000000000001,-71.23131904241211
0.0974,-71.23131227393003
0.0975,-71.23130566523123
0.0976,-71.23129921744359
0.09770000000000001,-71.23129293156904
0.0978,-71.2312868084855
0.0979,-71.2312808489485
0.098,-71.23127505359348
0.0981,-71.23126942293734
0.09820000000000001,-71.2312639573806
0.0983,-71.23125865720942
0.0984,-71.23125352259765
0.0985,-71.23124855360899
0.09860000000000001,-71.23124375019881
0.09870000000000001,-71.23123911221671
0.0988,-71.23123463940847
0.0989,-71.23123033141817
0.099,-71.2312261877906
0.09910000000000001,-71.23122220797337
0.09920000000000001,-71.23121839131932
0.0993,-71.23121473708852
0.0994,-71.2312112444508
0.0995,-71.23120791248802
0.09960000000000001,-71.23120474019632
0.09970000000000001,-71.23120172648842
0.0998,-71.23119887019614
0.0999,-71.23119617007245
0.1,-71.23119362479419
0.10010000000000001,-71.23119123296395
0.10020000000000001,-68.10453666320171
0.1003,-65.05379569225988
0.1004,-62.01266806605757
0.1005,-58.85966067470168
0.10060000000000001,-55.353887835952406
0.10070000000000001,-50.99696078540142
0.1008,-44.67649761163871
0.1009,-33.62356635449003
0.101,-10.804114531429112
0.10110000000000001,28.331345004994514
0.1012,45.36169762179262
0.1013,44.51112186817183
0.1014,42.29629895489427
0.1015,39.236413463336284
0.10160000000000001,35.48376685235183
0.1017,31.22749330353862
0.1018,26.613373414394765
0.1019,21.774586458193703
0.10200000000000001,16.82316080501483
0.10210000000000001,11.847528308818331
0.1022,6.91352399531528
0.1023,2.067231325491033
0.1024,-2.6614442322123995
0.10250000000000001,-7.2551710781887655
0.10260000000000001,-11.705981224018288
0.1027,-16.01275921610513
0.1028,-20.179739281284704
0.1029,-24.216366627769037
0.10300000000000001,-28.138840178875803
0.10310000000000001,-31.973380751052243
0.1032,-35.76071622576954
0.1033,-39.56051257591287
0.1034,-43.45348783213393
0.10350000000000001,-47.53656313805908
0.10360000000000001,-51.90044621072129
0.1037,-56.56935224542976
0.1038,-61.38619303703159
0.1039,-65.90339340476378
0.10400000000000001,-69.5008670544361
0.1041,-71.82414817105332
0.1042,-73.03619455287229
0.1043,-73.54940762199554
0.1044,-73.70451887860007
0.10450000000000001,-73.69403588508001
0.1046,-73.6088753378724
0.1047,-73.48870288483127
0.1048,-73.3503977682299
0.10490000000000001,-73.20118364043684
0.10500000000000001,-73.04422747849023
0.1051,-72.880970410141
0.1052,-72.71210165891785
0.1053,-72.53797334052665
0.10540000000000001,-72.35878221771922
0.10550000000000001,-72.17465218199963
0.1056,-71.98567321711795
0.1057,-71.79192058572279
0.1058,-71.59346469458481
0.10590000000000001,-71.39037629820568
0.10600000000000001,-71.18272925860718
0.1061,-70.97060194213407
0.1062,-70.75407777694241
0.1063,-70.53324525438222
0.10640000000000001,-70.30819752841981
0.10650000000000001,-70.07903169950407
0.1066,-69.84584783320992
0.1067,-69.60874775843538
0.1068,-69.3678336255112
0.10690000000000001,-69.12320625151182
0.10700000000000001,-68.87496326292434
0.1071,-68.62319701249349
0.1072,-68.36799227804381
0.1073,-68.1094237270325
0.10740000000000001,-67.84755313330652
0.1075,-67.58242631983637
0.1076,-67.31406980077618
0.1077,-67.04248708291426
0.1078,-66.76765457244092
0.10790000000000001,-66.48951701621648
0.108,-66.20798238383456
0.1081,-65.92291607419058
0.1082,-65.63413428002828
0.10830000000000001,-65.34139630949147
0.10840000000000001,-65.04439557837928
0.1085,-64.74274895401747
0.1086,-64.43598393054513
0.1087,-64.12352304830821
0.10880000000000001,-63.804664770725175
0.10890000000000001,-63.47855964363598
0.109,-63.14418030302403
0.1091,-62.800283300421356
0.1092,-62.445359897827885
0.10930000000000001,-62.07757205718914
0.10940000000000001,-61.69466787776991
0.1095,-61.29386870184514
0.1096,-60.87171605995767
0.1097,-60.423861294650784
0.10980000000000001,-59.94477140682331
0.10990000000000001,-59.427310455023765
0.11,-58.86213212893078
0.1101,-58.236778795896946
0.1102,-57.53431235237667
0.11030000000000001,-56.7311771880268
0.11040000000000001,-55.79376324592018
0.1105,-54.672693256771225
0.1106,-53.29297987860128
0.1107,-51.5364137872287
0.11080000000000001,-49.20888564225646
0.1109,-45.97819057820206
0.111,-41.25719675710504
0.1111,-34.01552857964491
0.11120000000000001,-22.6954700231619
0.11130000000000001,-6.428264066474891
0.1114,10.416799303616015
0.1115,19.31242491413058
0.1116,20.01153644049406
0.11170000000000001,16.93860139017127
0.11180000000000001,12.411244722127755
0.1119,7.310928210093954
0.112,2.039481257035764
0.1121,-3.1946475777193744
0.11220000000000001,-8.283134670137825
0.11230000000000001,-13.174356704953153
0.1124,-17.849207583662533
0.1125,-22.307628366390553
0.1126,-26.56235941241802
0.11270000000000001,-30.63782862233042
0.11280000000000001,-34.57222220451361
0.1129,-38.42039674477917
0.113,-42.25497549483747
0.1131,-46.16237223619889
0.11320000000000001,-50.22807660846539
0.11330000000000001,-54.50058981990502
0.1134,-58.922463762030205
0.1135,-63.24535498408204
0.1136,-67.0298257195324
0.11370000000000001,-69.85844872883432
0.11380000000000001,-71.62601181289507
0.1139,-72.55352884856117
0.114,-72.9562313658726
0.11410000000000001,-73.07498462303592
0.11420000000000001,-73.0503711139237
0.1143,-72.95430626495711
0.1144,-72.82145810858754
0.1145,-72.66822653135691
0.11460000000000001,-72.50240616672313
0.11470000000000001,-72.32777614415376
0.1148,-72.14622843549174
0.1149,-71.95875384573547
0.115,-71.76590411361006
0.11510000000000001,-71.56801258183398
0.11520000000000001,-71.36530208382155
0.1153,-71.15793907677512
0.1154,-70.94606148480374
0.1155,-70.72979335746842
0.11560000000000001,-70.50925265837226
0.11570000000000001,-70.28455532932016
0.1158,-70.05581724181465
0.1159,-69.82315488680318
0.116,-69.58668521272112
0.11610000000000001,-69.34652492321023
0.11620000000000001,-69.10278936512898
0.1163,-68.85559105481892
0.1164,-68.60503794284759
0.1165,-68.35123140844385
0.11660000000000001,-68.09426401483543
0.11670000000000001,-67.83421702536808
0.1168,-67.57115767548643
0.1169,-67.30513618752398
0.117,-67.03618250245965
0.11710000000000001,-66.76430269728894
0.11720000000000001,-66.48947504007366
0.1173,-66.21164561882287
0.1174,-65.93072345701393
0.11750000000000001,-65.64657499460813
0.11760000000000001,-65.35901780415601
0.1177,-65.0678133177022
0.1178,-64.77265833984544
0.1179,-64.4731749876443
0.11800000000000001,-64.16889864148548
0.11810000000000001,-63.859263290533704
0.1182,-63.543583597679
0.1183,-63.221032568452515
0.1184,-62.890613511134816
0.11850000000000001,-62.551124438160684
0.11860000000000001,-62.201112345578764
0.1187,-61.838813802704685
0.1188,-61.46207697641225
0.1189,-61.06825780947009
0.11900000000000001,-60.65408009984098
0.11910000000000001,-60.21544416682226
0.1192,-59.747161180988215
0.1193,-59.24257778225683
0.1194,-58.69303594326991
0.11950000000000001,-58.0870792119124
0.11960000000000001,-57.40925966795629
0.1197,-56.638298327860895
0.1198,-55.744168328376404
0.1199,-54.683325107372355
0.12000000000000001,-53.39064159402957
0.12010000000000001,-51.765285156913116
0.1202,-49.64513271881947
0.1203,-46.75924529528859
0.12040000000000001,-42.64004997114478
0.12050000000000001,-36.47760212587081
0.1206,-26.99406423593391
0.1207,-12.98462730004546
0.1208,3.649233628573517
0.12090000000000001,15.473063937985781
0.12100000000000001,18.690313815619245
0.1211,16.697695772937095
0.1212,12.568935548515496
0.1213,7.598551477765895
0.12140000000000001,2.340126614705314
0.12150000000000001,-2.932442959988476
0.1216,-8.078460609162056
0.1217,-13.029874912060661
0.1218,-17.759548452950643
0.12190000000000001,-22.26380987716744
0.12200000000000001,-26.554034053247037
0.1221,-30.654377048095366
0.1222,-34.60323251144739
0.1223,-38.45573241495736
0.12240000000000001,-42.28446681382834
0.12250000000000001,-46.175180744363104
0.1226,-50.21208069171761
0.1227,-54.442857729210836
0.1228,-58.81293961952528
0.12290000000000001,-63.08532776648853
0.12300000000000001,-66.83961563310196
0.1231,-69.67023370847656
0.1232,-71.46305671419947
0.1233,-72.42040601551462
0.12340000000000001,-72.84619493009927
0.12350000000000001,-72.97932975233387
0.1236,-72.96242689104562
0.1237,-72.86983995741194
0.12380000000000001,-72.73800354208643
0.12390000000000001,-72.58440138054176
0.124,-72.41744809852918
0.1241,-72.24126799411182
0.1242,-72.0579446430283
0.12430000000000001,-71.86857667027533
0.12440000000000001,-71.67377817490564
0.1245,-71.47392005171751
0.1246,-71.26924896566162
0.1247,-71.05994740110621
0.12480000000000001,-70.84616474649027
